# HJD    Flux    Flux_err
7082.57623843    0.99912    0.00757
7082.57655093    1.00007    0.00768
7082.57686343    1.00155    0.00782
7082.57748843    1.00400    0.00811
7082.57780093    0.99633    0.00760
7082.57811343    1.00442    0.00756
7082.57842593    1.00420    0.00762
7082.57873843    0.99377    0.00763
7082.57905093    0.99733    0.00757
7082.57936343    0.99205    0.00775
7082.57967593    1.00644    0.00760
7082.57998843    0.99511    0.00763
7082.58030093    0.99860    0.00954
7082.58093750    0.99222    0.00778
7082.58125000    1.00352    0.00755
7082.58156250    1.00313    0.00757
7082.58187500    1.00603    0.00764
7082.58250000    0.99809    0.00760
7082.58281250    1.00154    0.00802
7082.58312500    0.98363    0.00834
7082.58343750    0.99063    0.00781
7082.58375000    0.99716    0.00763
7082.58406250    0.99824    0.00765
7082.58437500    0.99571    0.00941
7082.58532407    1.00126    0.00753
7082.58563657    0.99214    0.00765
7082.58594907    0.99122    0.00782
7082.58626157    0.99339    0.00789
7082.58657407    0.99909    0.00855
7082.58719907    1.00899    0.01001
7082.58782407    1.00899    0.00794
7082.58844907    0.99366    0.00797
7082.58876157    0.99793    0.00792
7082.58907407    0.99518    0.00809
7082.58969907    0.99315    0.00765
7082.59001157    0.99968    0.00763
7082.59033565    1.00512    0.00814
7082.59064815    1.01066    0.00887
7082.59096065    1.00573    0.00998
7082.59127315    1.00502    0.00758
7082.59158565    0.99723    0.00765
7082.59189815    0.99343    0.00773
7082.59221065    1.00265    0.00766
7082.59252315    1.00112    0.00759
7082.59283565    0.99312    0.00777
7082.59314815    0.99798    0.00784
7082.59346065    1.00329    0.00799
7082.59377315    1.00045    0.00914
7082.59408565    1.00058    0.00836
7082.59439815    1.00504    0.00753
7082.59471065    1.01950    0.01453
7082.59503472    1.00031    0.00764
7082.59534722    0.99968    0.00751
7082.59565972    1.00123    0.00768
7082.59597222    0.99891    0.00950
7082.59659722    0.99910    0.00866
7082.59722222    1.00022    0.00764
7082.59784722    0.99677    0.00809
7082.59815972    0.99629    0.00756
7082.59847222    1.01646    0.00915
7082.59878472    0.99340    0.00808
7082.59909722    1.00137    0.00772
7082.59940972    0.99349    0.00772
7082.59972222    1.00686    0.00767
7082.60004630    0.99928    0.00760
7082.60035880    1.00084    0.00759
7082.60067130    0.99890    0.00820
7082.60098380    0.99904    0.00759
7082.60129630    0.99427    0.00760
7082.60160880    0.99606    0.00757
7082.60223380    0.99819    0.00772
7082.60317130    1.00289    0.00807
7082.60349537    0.99757    0.00771
7082.60380787    0.99604    0.00759
7082.60412037    1.00123    0.00859
7082.60474537    1.01063    0.00759
7082.60505787    0.99903    0.00757
7082.60537037    0.99408    0.00806
7082.60600694    1.00402    0.00764
7082.60631944    0.99718    0.00832
7082.60663194    1.00941    0.00787
7082.60725694    1.00378    0.00795
7082.60756944    0.99866    0.00771
7082.60851852    0.98958    0.00917
7082.60883102    0.99167    0.00799
7082.60976852    1.01630    0.01176
7082.61070602    0.99687    0.00769
7082.61101852    0.99281    0.00889
7082.61195602    0.99917    0.00759
7082.61290509    0.99453    0.00777
7082.61321759    0.99439    0.00864
7082.61384259    1.00267    0.01617
7082.61446759    1.00747    0.00749
7082.61540509    0.98676    0.00893
7082.61571759    0.99604    0.00841
7082.61603009    0.99550    0.00764
7082.61634259    1.00040    0.00762
7082.61666667    0.99615    0.00773
